case,ssim,psnr,mse,mae,msle,psnr_01,psnr_01_eps,psnr_eps,rmse
BraTS-GLI-00017-001,0.5001435875892639,13.96878719329834,0.040097855031490326,0.13263949751853943,0.0193879846483469,13.96878719329834,13.968788146972656,13.968788146972656,0.2002444863319397
BraTS-GLI-00044-000,0.9455369710922241,17.89535140991211,0.016235461458563805,0.0673488974571228,0.007705240044742823,17.89535140991211,17.895353317260742,17.895353317260742,0.12741844356060028
BraTS-GLI-00045-000,0.6414386034011841,18.87624740600586,0.012953140772879124,0.07186037302017212,0.005828055087476969,18.87624740600586,18.876249313354492,18.876249313354492,0.11381186544895172
BraTS-GLI-00046-000,0.7354416847229004,18.858863830566406,0.013005095534026623,0.06659237295389175,0.005188087932765484,18.858863830566406,18.858863830566406,18.858863830566406,0.11403988301753998
BraTS-GLI-00087-001,0.5998581647872925,16.639225006103516,0.021680904552340508,0.10711303353309631,0.007728993892669678,16.639225006103516,16.639225006103516,16.639225006103516,0.14724436402320862
BraTS-GLI-00100-000,0.5930086970329285,18.27621078491211,0.01487231906503439,0.07669562846422195,0.006850854959338903,18.27621078491211,18.276212692260742,18.276212692260742,0.1219521164894104
BraTS-GLI-00194-000,0.8995606899261475,15.26519775390625,0.009194634854793549,0.07621156424283981,0.003707323456183076,20.364654541015625,20.364654541015625,15.263005256652832,0.0958886593580246
BraTS-GLI-00236-000,0.6091359853744507,18.590492248535156,0.013834095560014248,0.08762707561254501,0.005325447302311659,18.590492248535156,18.590492248535156,18.590492248535156,0.11761843413114548
BraTS-GLI-00243-000,0.979032039642334,14.408534049987793,0.002064381493255496,0.03486077859997749,0.0005587144405581057,26.852100372314453,26.852100372314453,14.408533096313477,0.04543546587228775
BraTS-GLI-00249-000,0.7124229669570923,18.371322631835938,0.014550157822668552,0.0914846733212471,0.005528849549591541,18.371322631835938,18.371322631835938,18.371322631835938,0.12062403559684753
BraTS-GLI-00269-000,0.5767263770103455,15.651098251342773,0.02722012624144554,0.11512207239866257,0.013768029399216175,15.651098251342773,15.651098251342773,15.651098251342773,0.16498522460460663
BraTS-GLI-00282-000,0.5335175395011902,18.310087203979492,0.014756765216588974,0.09104188531637192,0.005773993209004402,18.310087203979492,18.310087203979492,18.310087203979492,0.12147742509841919
BraTS-GLI-00283-000,0.8663561344146729,20.99906349182129,0.002497442765161395,0.039396971464157104,0.0008806237601675093,26.025043487548828,26.02504539489746,20.999065399169922,0.04997442290186882
BraTS-GLI-00306-000,0.45528173446655273,14.761920928955078,0.03340471535921097,0.12809331715106964,0.014808926731348038,14.761920928955078,14.761922836303711,14.761922836303711,0.1827695667743683
BraTS-GLI-00340-000,0.5320592522621155,17.784006118774414,0.01665710099041462,0.09125970304012299,0.007111353799700737,17.784006118774414,17.784006118774414,17.784006118774414,0.12906239926815033
BraTS-GLI-00377-000,0.8112534284591675,19.65243911743164,0.007088933605700731,0.05441981926560402,0.0022554751485586166,21.49418830871582,21.494190216064453,19.652441024780273,0.0841958075761795
BraTS-GLI-00395-000,0.6570039391517639,17.690797805786133,0.017018454149365425,0.09319903701543808,0.006489692255854607,17.690797805786133,17.690799713134766,17.690799713134766,0.13045479357242584
BraTS-GLI-00402-000,0.6156749129295349,18.989498138427734,0.012619730085134506,0.0778374895453453,0.005020033102482557,18.989498138427734,18.989500045776367,18.989500045776367,0.11233757436275482
BraTS-GLI-00407-000,0.49324333667755127,15.493107795715332,0.02822859026491642,0.11608666181564331,0.011167646385729313,15.493107795715332,15.493107795715332,15.493107795715332,0.16801366209983826
BraTS-GLI-00433-000,0.5933350920677185,18.884851455688477,0.01188958901911974,0.07673722505569458,0.004825390409678221,19.24833106994629,19.24833106994629,18.884851455688477,0.10903938859701157
BraTS-GLI-00445-000,0.9644712209701538,17.07415199279785,0.005038978066295385,0.055981963872909546,0.0016167553840205073,22.97657585144043,22.976573944091797,17.07415199279785,0.07098575681447983
BraTS-GLI-00456-000,0.6022751331329346,17.25381088256836,0.018819965422153473,0.07550584524869919,0.00974445790052414,17.25381088256836,17.25381088256836,17.25381088256836,0.13718587160110474
BraTS-GLI-00493-000,0.9118378162384033,17.9547061920166,0.005389528349041939,0.0584714412689209,0.0016969627467915416,22.684492111206055,22.684494018554688,17.954708099365234,0.0734134092926979
BraTS-GLI-00494-001,0.7694090604782104,17.454490661621094,0.017970111221075058,0.10051287710666656,0.00850953720510006,17.454490661621094,17.454492568969727,17.454492568969727,0.13405264914035797
BraTS-GLI-00512-000,0.7612002491950989,17.770278930664062,0.012545343488454819,0.08329937607049942,0.004468929022550583,19.015172958374023,19.015174865722656,17.770280838012695,0.11200599372386932
BraTS-GLI-00517-001,0.6258679032325745,18.316234588623047,0.014735888689756393,0.08196435123682022,0.006068732123821974,18.316234588623047,18.31623649597168,18.31623649597168,0.12139146775007248
BraTS-GLI-00540-000,0.5119460821151733,16.159460067749023,0.024213295429944992,0.11115744709968567,0.011404173448681831,16.159460067749023,16.159460067749023,16.159460067749023,0.1556062251329422
BraTS-GLI-00559-001,0.8173654079437256,19.353368759155273,0.01155738066881895,0.05921303853392601,0.005510974675416946,19.37140464782715,19.37140655517578,19.353368759155273,0.10750526189804077
BraTS-GLI-00580-000,0.977587103843689,24.558277130126953,0.0035008382983505726,0.043730586767196655,0.0013564969412982464,24.558277130126953,24.558279037475586,24.558279037475586,0.059167880564928055
BraTS-GLI-00594-000,0.703792154788971,18.942001342773438,0.012758508324623108,0.07479704171419144,0.005689488258212805,18.942001342773438,18.942001342773438,18.942001342773438,0.1129535660147667
BraTS-GLI-00610-000,0.5291491746902466,17.122377395629883,0.01939823105931282,0.09712634235620499,0.008689912967383862,17.122377395629883,17.122379302978516,17.122379302978516,0.13927753269672394
BraTS-GLI-00642-000,0.8662078976631165,16.58530044555664,0.011060000397264957,0.0786159485578537,0.0036867528688162565,19.562448501586914,19.562448501586914,16.58509063720703,0.10516653954982758
BraTS-GLI-00650-000,0.7400278449058533,19.098506927490234,0.01181221567094326,0.06766536086797714,0.006587295327335596,19.27668571472168,19.27668571472168,19.098508834838867,0.10868401825428009
BraTS-GLI-00655-001,0.8079774379730225,18.40254020690918,0.014445937238633633,0.08615976572036743,0.005700612906366587,18.40254020690918,18.402542114257812,18.402542114257812,0.12019125372171402
BraTS-GLI-00658-000,0.9829986691474915,18.759092330932617,0.00439662579447031,0.046493757516145706,0.0014262563781812787,23.568803787231445,23.568803787231445,18.757179260253906,0.06630706042051315
BraTS-GLI-00675-000,0.6549503803253174,17.052684783935547,0.01971203088760376,0.0972997322678566,0.007612477522343397,17.052684783935547,17.05268669128418,17.05268669128418,0.14039954543113708
BraTS-GLI-00692-001,0.9503673911094666,17.473873138427734,0.00966090988367796,0.07222338765859604,0.0033416002988815308,20.149818420410156,20.14982032775879,17.473873138427734,0.09828992933034897
BraTS-GLI-00759-000,0.5935950875282288,15.537178993225098,0.027943579480051994,0.11945445090532303,0.011724811047315598,15.537178993225098,15.537179946899414,15.537179946899414,0.16716332733631134
BraTS-GLI-00789-000,0.5924896001815796,15.595717430114746,0.027569452300667763,0.11042704433202744,0.011478029191493988,15.595717430114746,15.595718383789062,15.595718383789062,0.16604050993919373
BraTS-GLI-00801-000,0.7820912003517151,17.113719940185547,0.007812751457095146,0.05339591205120087,0.0025494720321148634,21.071958541870117,21.07196044921875,17.11372184753418,0.08838976919651031
BraTS-GLI-00808-000,0.8011011481285095,19.73405647277832,0.01063148956745863,0.06900562345981598,0.0036564813926815987,19.73405647277832,19.734058380126953,19.734058380126953,0.10310911387205124
BraTS-GLI-01043-000,0.6570053696632385,17.60663604736328,0.011904689483344555,0.07973827421665192,0.004227383993566036,19.24281883239746,19.24281883239746,17.606637954711914,0.10910861194133759
BraTS-GLI-01053-000,0.8005390763282776,18.83966827392578,0.013062702491879463,0.08440650999546051,0.00497056357562542,18.83966827392578,18.839670181274414,18.839670181274414,0.11429218202829361
