arm,configuration,case,ssim,psnr,mse
fixed,n1,BraTS-GLI-00071-000,0.8354629874229431,18.099428176879883,0.015490196645259857
fixed,n1,BraTS-GLI-01302-000,0.914832592010498,19.72711753845215,0.01064849179238081
fixed,n1,BraTS-GLI-00186-000,0.8376609086990356,16.348346710205078,0.014069970697164536
fixed,n1,BraTS-GLI-01266-000,0.6292302012443542,18.24222755432129,0.014989149756729603
fixed,n1,BraTS-GLI-00085-000,0.7757550477981567,20.23264503479004,0.009256495162844658
fixed,n1,BraTS-GLI-00386-000,0.7454566955566406,19.80144500732422,0.0073982360772788525
fixed,n1,BraTS-GLI-01122-000,0.6604011058807373,15.794092178344727,0.026338480412960052
fixed,n1,BraTS-GLI-00204-000,0.4781118929386139,14.849807739257812,0.03273551166057587
fixed,n1,BraTS-GLI-01110-000,0.5580247044563293,15.72531795501709,0.026758892461657524
fixed,n1,BraTS-GLI-01171-000,0.8710700273513794,20.387832641601562,0.009145693853497505
fixed,n1,BraTS-GLI-01490-000,0.7925081253051758,17.83100128173828,0.01647782325744629
fixed,n1,BraTS-GLI-00432-000,0.958046019077301,22.1839599609375,0.00524322921410203
fixed,n1,BraTS-GLI-01328-000,0.7271368503570557,17.08819007873535,0.019551534205675125
fixed,n1,BraTS-GLI-00694-001,0.5909242630004883,17.563241958618164,0.01752571389079094
fixed,n1,BraTS-GLI-01162-000,0.6897533535957336,19.923263549804688,0.009974868968129158
fixed,n1,BraTS-GLI-01236-000,0.9592435359954834,21.68470573425293,0.006784678436815739
fixed,n1,BraTS-GLI-01306-000,0.6968225240707397,14.808145523071289,0.018614739179611206
fixed,n1,BraTS-GLI-01208-000,0.6287736892700195,17.28249168395996,0.012788156978785992
fixed,n1,BraTS-GLI-00273-000,0.5363946557044983,18.16304588317871,0.015264943242073059
fixed,n1,BraTS-GLI-01018-000,0.5643394589424133,17.4408016204834,0.01802685298025608
fixed,n1,BraTS-GLI-00400-000,0.6625974774360657,19.461158752441406,0.009813306853175163
fixed,n1,BraTS-GLI-00613-000,0.5251830220222473,17.280031204223633,0.018706688657402992
fixed,n1,BraTS-GLI-00241-000,0.5686705708503723,16.864025115966797,0.02058720588684082
fixed,n1,BraTS-GLI-00504-000,0.8663718104362488,18.75019645690918,0.006729097571223974
fixed,n1,BraTS-GLI-00608-000,0.670134425163269,18.94731903076172,0.012742891907691956
fixed,mean_n3,BraTS-GLI-00071-000,0.8354722857475281,18.09994125366211,0.015488378703594208
fixed,mean_n3,BraTS-GLI-01302-000,0.9148184657096863,19.727218627929688,0.010648245923221111
fixed,mean_n3,BraTS-GLI-00186-000,0.8376703262329102,16.34869384765625,0.01406884379684925
fixed,mean_n3,BraTS-GLI-01266-000,0.6292412877082825,18.24228286743164,0.014988966286182404
fixed,mean_n3,BraTS-GLI-00085-000,0.7757501006126404,20.231842041015625,0.009258207865059376
fixed,mean_n3,BraTS-GLI-00386-000,0.7454661130905151,19.801185607910156,0.007398681249469519
fixed,mean_n3,BraTS-GLI-01122-000,0.6604987382888794,15.794698715209961,0.026334799826145172
fixed,mean_n3,BraTS-GLI-00204-000,0.47810450196266174,14.849763870239258,0.03273584693670273
fixed,mean_n3,BraTS-GLI-01110-000,0.5580698251724243,15.726025581359863,0.026754532009363174
fixed,mean_n3,BraTS-GLI-01171-000,0.8710606694221497,20.387584686279297,0.009146214462816715
fixed,mean_n3,BraTS-GLI-01490-000,0.7924939393997192,17.830286026000977,0.016480540856719017
fixed,mean_n3,BraTS-GLI-00432-000,0.9580615758895874,22.18514060974121,0.005241801962256432
fixed,mean_n3,BraTS-GLI-01328-000,0.7270950675010681,17.08510971069336,0.019565410912036896
fixed,mean_n3,BraTS-GLI-00694-001,0.5909486413002014,17.562700271606445,0.017527896910905838
fixed,mean_n3,BraTS-GLI-01162-000,0.6898146271705627,19.9240665435791,0.009973022155463696
fixed,mean_n3,BraTS-GLI-01236-000,0.959205150604248,21.681734085083008,0.006789322942495346
fixed,mean_n3,BraTS-GLI-01306-000,0.6968017220497131,14.807799339294434,0.018616223707795143
fixed,mean_n3,BraTS-GLI-01208-000,0.6287746429443359,17.282470703125,0.012788216583430767
fixed,mean_n3,BraTS-GLI-00273-000,0.5364294648170471,18.162988662719727,0.015265148133039474
fixed,mean_n3,BraTS-GLI-01018-000,0.5643006563186646,17.44066047668457,0.01802743226289749
fixed,mean_n3,BraTS-GLI-00400-000,0.6626027226448059,19.461362838745117,0.009812847711145878
fixed,mean_n3,BraTS-GLI-00613-000,0.5251721143722534,17.280319213867188,0.018705444410443306
fixed,mean_n3,BraTS-GLI-00241-000,0.5686877369880676,16.864152908325195,0.02058659866452217
fixed,mean_n3,BraTS-GLI-00504-000,0.8663815855979919,18.750783920288086,0.006728186737746
fixed,mean_n3,BraTS-GLI-00608-000,0.6701265573501587,18.947124481201172,0.01274346373975277
fixed,median_n3,BraTS-GLI-00071-000,0.8354595303535461,18.099327087402344,0.015490558929741383
fixed,median_n3,BraTS-GLI-01302-000,0.9148088693618774,19.727306365966797,0.010648027993738651
fixed,median_n3,BraTS-GLI-00186-000,0.8376709818840027,16.348804473876953,0.014068488962948322
fixed,median_n3,BraTS-GLI-01266-000,0.6292343139648438,18.242334365844727,0.014988788403570652
fixed,median_n3,BraTS-GLI-00085-000,0.7757458686828613,20.231721878051758,0.009258465841412544
fixed,median_n3,BraTS-GLI-00386-000,0.7454750537872314,19.801246643066406,0.007398574613034725
fixed,median_n3,BraTS-GLI-01122-000,0.660515308380127,15.794655799865723,0.026335058733820915
fixed,median_n3,BraTS-GLI-00204-000,0.4780947268009186,14.849653244018555,0.032736681401729584
fixed,median_n3,BraTS-GLI-01110-000,0.5580461025238037,15.725846290588379,0.026755640283226967
fixed,median_n3,BraTS-GLI-01171-000,0.8710615038871765,20.387685775756836,0.009146001189947128
fixed,median_n3,BraTS-GLI-01490-000,0.7924954295158386,17.83034324645996,0.01648031733930111
fixed,median_n3,BraTS-GLI-00432-000,0.958064079284668,22.1851749420166,0.005241761915385723
fixed,median_n3,BraTS-GLI-01328-000,0.7270939350128174,17.08514404296875,0.01956525444984436
fixed,median_n3,BraTS-GLI-00694-001,0.5909498333930969,17.562646865844727,0.017528118565678596
fixed,median_n3,BraTS-GLI-01162-000,0.6898118853569031,19.92406463623047,0.009973029606044292
fixed,median_n3,BraTS-GLI-01236-000,0.9592040181159973,21.68060874938965,0.006791081745177507
fixed,median_n3,BraTS-GLI-01306-000,0.6967886090278625,14.807677268981934,0.018616747111082077
fixed,median_n3,BraTS-GLI-01208-000,0.6287683844566345,17.282390594482422,0.012788455933332443
fixed,median_n3,BraTS-GLI-00273-000,0.5364551544189453,18.16302490234375,0.015265022404491901
fixed,median_n3,BraTS-GLI-01018-000,0.5643110275268555,17.44075584411621,0.018027042970061302
fixed,median_n3,BraTS-GLI-00400-000,0.6626063585281372,19.461326599121094,0.009812930598855019
fixed,median_n3,BraTS-GLI-00613-000,0.5251801013946533,17.280282974243164,0.01870560087263584
fixed,median_n3,BraTS-GLI-00241-000,0.5686913728713989,16.864107131958008,0.02058681659400463
fixed,median_n3,BraTS-GLI-00504-000,0.8663802146911621,18.75068473815918,0.006728340405970812
fixed,median_n3,BraTS-GLI-00608-000,0.6701305508613586,18.947345733642578,0.012742817401885986
fixed,mean_n5,BraTS-GLI-00071-000,0.8354769349098206,18.10014533996582,0.015487647615373135
