case,ssim,psnr,mse,mae,msle,psnr_01,psnr_01_eps,psnr_eps,rmse
BraTS-GLI-00017-001,0.5597420334815979,15.58155632019043,0.027659492567181587,0.11128494888544083,0.013692275620996952,15.58155632019043,15.581558227539062,15.581558227539062,0.16631142795085907
BraTS-GLI-00044-000,0.9360969066619873,17.201494216918945,0.019048046320676804,0.08323743939399719,0.007288084365427494,17.201494216918945,17.201496124267578,17.201496124267578,0.13801465928554535
BraTS-GLI-00045-000,0.7031829357147217,19.678651809692383,0.010767996311187744,0.06537745147943497,0.004470820538699627,19.678651809692383,19.678651809692383,19.678651809692383,0.1037689596414566
BraTS-GLI-00046-000,0.7429046630859375,19.347789764404297,0.01162040140479803,0.06256425380706787,0.004782960284501314,19.347789764404297,19.347789764404297,19.347789764404297,0.10779796540737152
BraTS-GLI-00087-001,0.6064738035202026,17.36407470703125,0.01834815740585327,0.0932159349322319,0.006515366490930319,17.36407470703125,17.36407470703125,17.36407470703125,0.13545536994934082
BraTS-GLI-00100-000,0.644005537033081,18.621000289916992,0.013737251982092857,0.06954652816057205,0.006583766546100378,18.621000289916992,18.621002197265625,18.621002197265625,0.11720602214336395
BraTS-GLI-00194-000,0.9010754823684692,15.754328727722168,0.008250538259744644,0.06936576962471008,0.0035069214645773172,20.835176467895508,20.83517837524414,15.733528137207031,0.09083247184753418
BraTS-GLI-00236-000,0.6570417284965515,18.264680862426758,0.01491185836493969,0.08918020129203796,0.005781062878668308,18.264680862426758,18.26468276977539,18.26468276977539,0.12211412191390991
BraTS-GLI-00243-000,0.9837843179702759,16.273086547851562,0.0013438825262710452,0.026023730635643005,0.00036907888716086745,28.716386795043945,28.716388702392578,16.27281951904297,0.03665900230407715
BraTS-GLI-00249-000,0.7539964318275452,19.440265655517578,0.01137557439506054,0.07627789676189423,0.004434389062225819,19.440265655517578,19.44026756286621,19.44026756286621,0.10665634274482727
BraTS-GLI-00269-000,0.6586719751358032,17.482152938842773,0.017856024205684662,0.09116781502962112,0.00864462275058031,17.482152938842773,17.48215103149414,17.48215103149414,0.13362643122673035
BraTS-GLI-00282-000,0.5834084749221802,18.98192024230957,0.012641766108572483,0.08413759618997574,0.004968156572431326,18.98192024230957,18.981922149658203,18.981922149658203,0.11243560910224915
BraTS-GLI-00283-000,0.8242335319519043,18.703014373779297,0.00423740828409791,0.05181099474430084,0.0015004517044872046,23.728994369506836,23.7289981842041,18.70301628112793,0.06509537994861603
BraTS-GLI-00306-000,0.5166822075843811,14.726571083068848,0.033677730709314346,0.11237312853336334,0.015392378903925419,14.726571083068848,14.726572036743164,14.726572036743164,0.18351493775844574
BraTS-GLI-00340-000,0.6202717423439026,19.456403732299805,0.01133338175714016,0.07557494193315506,0.0047179292887449265,19.456403732299805,19.456403732299805,19.456403732299805,0.10645835846662521
BraTS-GLI-00377-000,0.7950477600097656,19.83429718017578,0.006799119524657726,0.06104867905378342,0.002113793045282364,21.675472259521484,21.675472259521484,19.833724975585938,0.08245677500963211
BraTS-GLI-00395-000,0.6740608811378479,17.326749801635742,0.018506523221731186,0.09016720950603485,0.00707462290301919,17.326749801635742,17.326751708984375,17.326751708984375,0.136038675904274
BraTS-GLI-00402-000,0.6446043252944946,19.185611724853516,0.012062537483870983,0.0774829313158989,0.004505427088588476,19.185611724853516,19.18561363220215,19.18561363220215,0.10982958227396011
BraTS-GLI-00407-000,0.6137551069259644,17.009313583374023,0.019909873604774475,0.0957350879907608,0.007880120538175106,17.009313583374023,17.009315490722656,17.009315490722656,0.14110234379768372
BraTS-GLI-00433-000,0.582549512386322,16.926013946533203,0.01875145547091961,0.09442836791276932,0.007477292325347662,17.269649505615234,17.269651412963867,16.906169891357422,0.13693594932556152
BraTS-GLI-00445-000,0.9807628393173218,20.58888816833496,0.002243203576654196,0.036309681832790375,0.0007427638047374785,26.49131202697754,26.491313934326172,20.588890075683594,0.047362469136714935
BraTS-GLI-00456-000,0.696002721786499,20.383071899414062,0.009155724197626114,0.05823497101664543,0.0039567118510603905,20.383071899414062,20.383071899414062,20.383071899414062,0.09568554908037186
