case,ssim,psnr,mse,mae,msle,psnr_01,psnr_01_eps,psnr_eps,rmse
BraTS-GLI-00017-001,0.6105629801750183,16.948637008666992,0.02018999494612217,0.09640888124704361,0.010212837718427181,16.948637008666992,16.948638916015625,16.948638916015625,0.14209149777889252
BraTS-GLI-00044-000,0.9512732625007629,18.314504623413086,0.014741763472557068,0.060405053198337555,0.006888668984174728,18.314504623413086,18.31450653076172,18.31450653076172,0.12141566723585129
BraTS-GLI-00045-000,0.6633448600769043,20.62574005126953,0.008658166043460369,0.05974828079342842,0.003588160965591669,20.62574005126953,20.625741958618164,20.625741958618164,0.09304926544427872
BraTS-GLI-00046-000,0.7774185538291931,19.727224349975586,0.010648231953382492,0.05744961276650429,0.00439129862934351,19.727224349975586,19.72722625732422,19.72722625732422,0.10319026559591293
BraTS-GLI-00087-001,0.6392050981521606,17.69302749633789,0.017009718343615532,0.09161677211523056,0.00597440404817462,17.69302749633789,17.69302749633789,17.69302749633789,0.13042131066322327
BraTS-GLI-00100-000,0.6357628703117371,18.591127395629883,0.013832070864737034,0.07165198028087616,0.006664632819592953,18.591127395629883,18.591127395629883,18.591127395629883,0.11760982871055603
BraTS-GLI-00194-000,0.8973579406738281,14.927234649658203,0.00996327493339777,0.08093953132629395,0.004141414072364569,20.01597785949707,20.015979766845703,14.91433048248291,0.0998162105679512
BraTS-GLI-00236-000,0.6903038620948792,19.808319091796875,0.010451242327690125,0.07643348723649979,0.004003955516964197,19.808319091796875,19.808320999145508,19.808320999145508,0.10223131626844406
BraTS-GLI-00243-000,0.9833522439002991,15.326539993286133,0.0016710498603060842,0.030200747773051262,0.000456682697404176,27.770105361938477,27.77010726928711,15.326539039611816,0.040878474712371826
BraTS-GLI-00249-000,0.7428736686706543,19.287622451782227,0.011782506480813026,0.0812394917011261,0.004621753003448248,19.287622451782227,19.287622451782227,19.287622451782227,0.10854725539684296
BraTS-GLI-00269-000,0.7074341177940369,18.529090881347656,0.01403107587248087,0.08386899530887604,0.006436412688344717,18.529090881347656,18.529088973999023,18.529088973999023,0.11845284700393677
BraTS-GLI-00282-000,0.619060754776001,19.813371658325195,0.010439089499413967,0.07687238603830338,0.0041208770126104355,19.813371658325195,19.813373565673828,19.813373565673828,0.10217186063528061
BraTS-GLI-00283-000,0.8565989136695862,19.08327293395996,0.0038821694906800985,0.049644943326711655,0.0013634467031806707,24.1092529296875,24.1092529296875,19.083274841308594,0.06230705603957176
BraTS-GLI-00306-000,0.5680534243583679,16.419891357421875,0.022803984582424164,0.09712722152471542,0.01020178571343422,16.419891357421875,16.419891357421875,16.419891357421875,0.15100988745689392
BraTS-GLI-00340-000,0.6337496042251587,20.20208168029785,0.009545346722006798,0.06931272149085999,0.003976200707256794,20.20208168029785,20.202083587646484,20.202083587646484,0.09770029038190842
BraTS-GLI-00377-000,0.8521376848220825,22.28890609741211,0.003863085061311722,0.04502098262310028,0.0012159505859017372,24.130657196044922,24.130657196044922,22.288909912109375,0.06215372309088707
BraTS-GLI-00395-000,0.7245356440544128,19.3154354095459,0.011707291007041931,0.07483310252428055,0.004657450132071972,19.3154354095459,19.3154354095459,19.3154354095459,0.10820023715496063
BraTS-GLI-00402-000,0.661697268486023,19.471561431884766,0.011293896473944187,0.07386156916618347,0.004426570609211922,19.471561431884766,19.471561431884766,19.471561431884766,0.10627274960279465
BraTS-GLI-00407-000,0.5956276655197144,17.0561466217041,0.019696328788995743,0.09827449172735214,0.007901033386588097,17.0561466217041,17.0561466217041,17.0561466217041,0.14034360647201538
BraTS-GLI-00433-000,0.649404764175415,19.66107940673828,0.009944276884198189,0.06932182610034943,0.004086884669959545,20.024267196655273,20.024269104003906,19.660789489746094,0.09972099959850311
BraTS-GLI-00445-000,0.9755861759185791,20.137924194335938,0.002488657832145691,0.03896794095635414,0.0008377314079552889,26.040346145629883,26.040348052978516,20.137924194335938,0.04988645017147064
BraTS-GLI-00456-000,0.6950257420539856,21.261211395263672,0.007479606196284294,0.05141303315758705,0.003293934976682067,21.261211395263672,21.261213302612305,21.261213302612305,0.08648471534252167
BraTS-GLI-00493-000,0.8891063332557678,17.847301483154297,0.0055792732164263725,0.05650438740849495,0.0016997818602249026,22.534223556518555,22.534221649169922,17.8044376373291,0.07469452917575836
BraTS-GLI-00494-001,0.7757608890533447,17.213510513305664,0.01899542473256588,0.10306781530380249,0.008672283962368965,17.213510513305664,17.213510513305664,17.213510513305664,0.1378238946199417
